Date,Fed Rate,CPI,Unemployment,Inflation YoY
7/1/1954,0.8,26.86,5.8,
8/1/1954,1.22,26.85,6,
9/1/1954,1.07,26.81,6.1,
10/1/1954,0.85,26.72,5.7,
11/1/1954,0.83,26.78,5.3,
12/1/1954,1.28,26.77,5,
1/1/1955,1.39,26.77,4.9,
2/1/1955,1.29,26.82,4.7,
3/1/1955,1.35,26.79,4.6,
4/1/1955,1.43,26.79,4.7,
5/1/1955,1.43,26.77,4.3,
6/1/1955,1.64,26.71,4.2,
7/1/1955,1.68,26.76,4,-0.37%
8/1/1955,1.96,26.72,4.2,-0.48%
9/1/1955,2.18,26.85,4.1,0.15%
10/1/1955,2.24,26.82,4.3,0.37%
11/1/1955,2.35,26.88,4.2,0.37%
12/1/1955,2.48,26.87,4.2,0.37%
1/1/1956,2.45,26.83,4,0.22%
2/1/1956,2.5,26.86,3.9,0.15%
3/1/1956,2.5,26.89,4.2,0.37%
4/1/1956,2.62,26.93,4,0.52%
5/1/1956,2.75,27.03,4.3,0.97%
6/1/1956,2.71,27.15,4.3,1.65%
7/1/1956,2.75,27.29,4.4,1.98%
8/1/1956,2.73,27.31,4.1,2.21%
9/1/1956,2.95,27.35,3.9,1.86%
10/1/1956,2.96,27.51,3.9,2.57%
11/1/1956,2.88,27.51,4.3,2.34%
12/1/1956,2.94,27.63,4.2,2.83%
1/1/1957,2.84,27.67,4.2,3.13%
2/1/1957,3,27.8,3.9,3.50%
3/1/1957,2.96,27.86,3.7,3.61%
4/1/1957,3,27.93,3.9,3.71%
5/1/1957,3,28,4.1,3.59%
6/1/1957,3,28.11,4.3,3.54%
7/1/1957,2.99,28.19,4.2,3.30%
8/1/1957,3.24,28.28,4.1,3.55%
9/1/1957,3.47,28.32,4.4,3.55%
10/1/1957,3.5,28.32,4.5,2.94%
11/1/1957,3.28,28.41,5.1,3.27%
12/1/1957,2.98,28.47,5.2,3.04%
1/1/1958,2.72,28.64,5.8,3.51%
2/1/1958,1.67,28.7,6.4,3.24%
3/1/1958,1.2,28.87,6.7,3.63%
4/1/1958,1.26,28.94,7.4,3.62%
